image,true_label,pred_label,is_correct_top1,is_correct_top2,is_correct_top3,top1_conf,top2_conf,top3_conf,top1_pred,top2_pred,top3_pred
29751.jpg,DARK AUTUMN,DARK WINTER,False,True,True,0.6442276239395142,0.26208263635635376,0.04120264947414398,DARK WINTER,DARK AUTUMN,MUTED AUTUMN
3003.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.5797814130783081,0.35043686628341675,0.023900683969259262,DARK AUTUMN,DARK WINTER,COOL WINTER
3544.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.825998067855835,0.06820986419916153,0.06216726824641228,DARK AUTUMN,WARM AUTUMN,DARK WINTER
3636.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.6017303466796875,0.21003584563732147,0.07076868414878845,DARK AUTUMN,DARK WINTER,MUTED AUTUMN
4892.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.49317365884780884,0.44882017374038696,0.02184595912694931,DARK AUTUMN,DARK WINTER,COOL WINTER
5092.jpg,DARK AUTUMN,BRIGHT WINTER,False,True,True,0.2436482012271881,0.20769016444683075,0.17911601066589355,BRIGHT WINTER,DARK AUTUMN,DARK WINTER
5749.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.614246129989624,0.13845545053482056,0.11588814854621887,DARK AUTUMN,DARK WINTER,MUTED AUTUMN
5891.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.7104052305221558,0.27235710620880127,0.006435872055590153,DARK AUTUMN,DARK WINTER,WARM AUTUMN
658.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.9223268032073975,0.04720144718885422,0.01763160526752472,DARK AUTUMN,DARK WINTER,WARM AUTUMN
6788.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.5193394422531128,0.3836173415184021,0.04756145924329758,DARK AUTUMN,WARM AUTUMN,COOL WINTER
8125.jpg,DARK AUTUMN,DARK WINTER,False,True,True,0.6350603103637695,0.32270902395248413,0.01943773217499256,DARK WINTER,DARK AUTUMN,COOL WINTER
8897.jpg,DARK AUTUMN,MUTED AUTUMN,False,True,True,0.3643115162849426,0.29383212327957153,0.06825611740350723,MUTED AUTUMN,DARK AUTUMN,BRIGHT SPRING
9223.jpg,DARK AUTUMN,WARM AUTUMN,False,True,True,0.3275330662727356,0.32290124893188477,0.1474352478981018,WARM AUTUMN,DARK AUTUMN,COOL WINTER
9805.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.3556290864944458,0.17103801667690277,0.13535067439079285,DARK AUTUMN,BRIGHT SPRING,DARK WINTER
19284.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.6608731746673584,0.12212330102920532,0.10076069086790085,DARK AUTUMN,MUTED AUTUMN,WARM AUTUMN
19453.jpg,DARK AUTUMN,WARM AUTUMN,False,True,True,0.4694157838821411,0.1428380310535431,0.11208096146583557,WARM AUTUMN,DARK AUTUMN,MUTED AUTUMN
19550.jpg,DARK AUTUMN,WARM AUTUMN,False,False,True,0.5103460550308228,0.20366916060447693,0.14837288856506348,WARM AUTUMN,COOL WINTER,DARK AUTUMN
19572.jpg,DARK AUTUMN,MUTED AUTUMN,False,False,False,0.34402409195899963,0.2362496554851532,0.17149125039577484,MUTED AUTUMN,WARM SPRING,WARM AUTUMN
21280.jpg,DARK AUTUMN,MUTED AUTUMN,False,True,True,0.2930428981781006,0.21182101964950562,0.09192921966314316,MUTED AUTUMN,DARK AUTUMN,LIGHT SPRING
21368.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.6186487674713135,0.2810608744621277,0.048642080277204514,DARK AUTUMN,DARK WINTER,COOL WINTER
21432.jpg,DARK AUTUMN,MUTED AUTUMN,False,False,False,0.5887970924377441,0.11003945767879486,0.10631486028432846,MUTED AUTUMN,COOL WINTER,WARM AUTUMN
21563.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.33369651436805725,0.28345736861228943,0.11456452310085297,DARK AUTUMN,DARK WINTER,MUTED AUTUMN
21977.jpg,DARK AUTUMN,DARK WINTER,False,False,True,0.2977527379989624,0.23682580888271332,0.14877504110336304,DARK WINTER,COOL WINTER,DARK AUTUMN
22372.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.6168279647827148,0.2848564386367798,0.0448736697435379,DARK AUTUMN,DARK WINTER,MUTED AUTUMN
22717.jpg,DARK AUTUMN,MUTED AUTUMN,False,True,True,0.3285805583000183,0.3166894316673279,0.10733536630868912,MUTED AUTUMN,DARK AUTUMN,WARM AUTUMN
22915.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.5857791304588318,0.3207348883152008,0.029043078422546387,DARK AUTUMN,DARK WINTER,WARM AUTUMN
23235.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.4317032992839813,0.17850106954574585,0.16965842247009277,DARK AUTUMN,DARK WINTER,WARM AUTUMN
23813.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.38401174545288086,0.29340341687202454,0.12129689753055573,DARK AUTUMN,DARK WINTER,COOL WINTER
23863.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.5304750204086304,0.15281173586845398,0.11943401396274567,DARK AUTUMN,WARM AUTUMN,COOL WINTER
24237.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.6651504039764404,0.23756258189678192,0.0523398295044899,DARK AUTUMN,DARK WINTER,COOL WINTER
24384.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.2999348044395447,0.20230287313461304,0.19235169887542725,DARK AUTUMN,DARK WINTER,MUTED AUTUMN
24547.jpg,DARK AUTUMN,DARK WINTER,False,True,True,0.3776014447212219,0.2955418825149536,0.1160132884979248,DARK WINTER,DARK AUTUMN,MUTED AUTUMN
24700.jpg,DARK AUTUMN,DARK WINTER,False,True,True,0.7328439354896545,0.2550658881664276,0.005852430127561092,DARK WINTER,DARK AUTUMN,MUTED AUTUMN
24982.jpg,DARK AUTUMN,DARK WINTER,False,True,True,0.5821832418441772,0.41355571150779724,0.0014362920774146914,DARK WINTER,DARK AUTUMN,COOL WINTER
25289.jpg,DARK AUTUMN,MUTED AUTUMN,False,False,False,0.4611072838306427,0.2089141309261322,0.1127203032374382,MUTED AUTUMN,BRIGHT SPRING,MUTED SUMMER
25988.jpg,DARK AUTUMN,DARK WINTER,False,True,True,0.4428107440471649,0.306037962436676,0.09459976106882095,DARK WINTER,DARK AUTUMN,COOL WINTER
26082.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.6280763745307922,0.13270717859268188,0.10217554867267609,DARK AUTUMN,DARK WINTER,WARM AUTUMN
26438.jpg,DARK AUTUMN,DARK WINTER,False,True,True,0.7377081513404846,0.19054076075553894,0.06286773085594177,DARK WINTER,DARK AUTUMN,COOL WINTER
26511.jpg,DARK AUTUMN,COOL WINTER,False,False,True,0.2647857666015625,0.21397975087165833,0.17753446102142334,COOL WINTER,DARK WINTER,DARK AUTUMN
26598.jpg,DARK AUTUMN,DARK WINTER,False,False,True,0.5282699465751648,0.28157806396484375,0.08900085091590881,DARK WINTER,COOL WINTER,DARK AUTUMN
26969.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.2763315737247467,0.1789824664592743,0.11207933723926544,DARK AUTUMN,DARK WINTER,COOL WINTER
28305.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.7074983716011047,0.12192759662866592,0.11534568667411804,DARK AUTUMN,WARM AUTUMN,DARK WINTER
28327.jpg,DARK AUTUMN,DARK WINTER,False,True,True,0.4004688858985901,0.182173952460289,0.15875478088855743,DARK WINTER,DARK AUTUMN,COOL WINTER
28576.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.6323089599609375,0.19916944205760956,0.04963384196162224,DARK AUTUMN,DARK WINTER,WARM AUTUMN
29465.jpg,DARK AUTUMN,COOL WINTER,False,False,True,0.5072501301765442,0.20691058039665222,0.17786380648612976,COOL WINTER,DARK WINTER,DARK AUTUMN
29658.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.3996694087982178,0.32150545716285706,0.07349161803722382,DARK AUTUMN,MUTED AUTUMN,WARM AUTUMN
11719.jpg,DARK AUTUMN,WARM AUTUMN,False,False,True,0.22949998080730438,0.22886896133422852,0.19729481637477875,WARM AUTUMN,BRIGHT SPRING,DARK AUTUMN
11726.jpg,DARK AUTUMN,DARK WINTER,False,True,True,0.5106396079063416,0.43782246112823486,0.015044409781694412,DARK WINTER,DARK AUTUMN,COOL WINTER
16295.jpg,DARK AUTUMN,DARK WINTER,False,False,True,0.450397253036499,0.26471906900405884,0.25423088669776917,DARK WINTER,COOL WINTER,DARK AUTUMN
20500.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.6771407127380371,0.27313047647476196,0.02037748135626316,DARK AUTUMN,DARK WINTER,COOL WINTER
21062.jpg,DARK AUTUMN,WARM AUTUMN,False,True,True,0.8515820503234863,0.07032469660043716,0.03615790605545044,WARM AUTUMN,DARK AUTUMN,MUTED AUTUMN
21655.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.32827478647232056,0.21661877632141113,0.14127621054649353,DARK AUTUMN,MUTED AUTUMN,COOL WINTER
21702.jpg,DARK AUTUMN,DARK WINTER,False,True,True,0.7029336094856262,0.2937919497489929,0.001928313635289669,DARK WINTER,DARK AUTUMN,MUTED AUTUMN
24259.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.7710038423538208,0.10265642404556274,0.05597962066531181,DARK AUTUMN,DARK WINTER,WARM AUTUMN
24573.jpg,DARK AUTUMN,DARK WINTER,False,True,True,0.3305409550666809,0.2911461293697357,0.1354009509086609,DARK WINTER,DARK AUTUMN,COOL WINTER
24692.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.6226495504379272,0.25575676560401917,0.03237859159708023,DARK AUTUMN,WARM AUTUMN,DARK WINTER
24993.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.4534306526184082,0.2031175196170807,0.09343862533569336,DARK AUTUMN,MUTED AUTUMN,DARK WINTER
26323.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.7317200899124146,0.225031316280365,0.013729068450629711,DARK AUTUMN,DARK WINTER,MUTED AUTUMN
26330.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.6026022434234619,0.2027599811553955,0.08902598172426224,DARK AUTUMN,DARK WINTER,MUTED AUTUMN
26801.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.2966945469379425,0.260970801115036,0.24583886563777924,DARK AUTUMN,COOL WINTER,DARK WINTER
27281.jpg,DARK AUTUMN,DARK WINTER,False,True,True,0.6937493681907654,0.28137773275375366,0.007768671028316021,DARK WINTER,DARK AUTUMN,MUTED AUTUMN
28335.jpg,DARK AUTUMN,DARK WINTER,False,False,True,0.8036338090896606,0.09882520139217377,0.06887054443359375,DARK WINTER,COOL WINTER,DARK AUTUMN
28418.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.6165380477905273,0.35537463426589966,0.017442524433135986,DARK AUTUMN,DARK WINTER,MUTED AUTUMN
28680.jpg,DARK AUTUMN,COOL WINTER,False,True,True,0.18921184539794922,0.1327674388885498,0.12504327297210693,COOL WINTER,DARK AUTUMN,MUTED AUTUMN
29182.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.5676405429840088,0.2504558265209198,0.1295424848794937,DARK AUTUMN,WARM AUTUMN,DARK WINTER
3405.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.47286105155944824,0.18768784403800964,0.11324983835220337,DARK AUTUMN,DARK WINTER,MUTED AUTUMN
4130.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.446695476770401,0.20515453815460205,0.07229222357273102,DARK AUTUMN,MUTED AUTUMN,BRIGHT SPRING
4775.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.31475794315338135,0.26822343468666077,0.1353670358657837,DARK AUTUMN,WARM AUTUMN,MUTED AUTUMN
7472.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.6159715056419373,0.1688128113746643,0.09541434794664383,DARK AUTUMN,DARK WINTER,MUTED AUTUMN
7615.jpg,DARK AUTUMN,DARK WINTER,False,True,True,0.3449847996234894,0.29779908061027527,0.09419088810682297,DARK WINTER,DARK AUTUMN,COOL WINTER
8293.jpg,DARK AUTUMN,WARM AUTUMN,False,True,True,0.1901860237121582,0.1898784637451172,0.16341432929039001,WARM AUTUMN,DARK AUTUMN,MUTED AUTUMN
864.jpg,DARK AUTUMN,DARK AUTUMN,True,True,True,0.7881855964660645,0.07931683957576752,0.07009273767471313,DARK AUTUMN,DARK WINTER,WARM AUTUMN
8843.jpg,DARK AUTUMN,DARK WINTER,False,True,True,0.4921400547027588,0.48569583892822266,0.012843919917941093,DARK WINTER,DARK AUTUMN,MUTED AUTUMN
10602.jpg,MUTED AUTUMN,MUTED SUMMER,False,False,True,0.45832040905952454,0.19733524322509766,0.1485562026500702,MUTED SUMMER,LIGHT SPRING,MUTED AUTUMN
12845.jpg,MUTED AUTUMN,MUTED AUTUMN,True,True,True,0.4942677617073059,0.15455690026283264,0.06915648281574249,MUTED AUTUMN,MUTED SUMMER,COOL SUMMER
13209.jpg,MUTED AUTUMN,MUTED AUTUMN,True,True,True,0.4624096751213074,0.14821352064609528,0.1470077484846115,MUTED AUTUMN,COOL SUMMER,BRIGHT SPRING
13716.jpg,MUTED AUTUMN,MUTED AUTUMN,True,True,True,0.2517605125904083,0.1829778254032135,0.14684626460075378,MUTED AUTUMN,WARM AUTUMN,MUTED SUMMER
15178.jpg,MUTED AUTUMN,MUTED AUTUMN,True,True,True,0.3503492474555969,0.18124112486839294,0.11458803713321686,MUTED AUTUMN,DARK AUTUMN,COOL WINTER
15449.jpg,MUTED AUTUMN,WARM AUTUMN,False,False,False,0.3130199909210205,0.28540459275245667,0.1945728063583374,WARM AUTUMN,DARK AUTUMN,COOL WINTER
17203.jpg,MUTED AUTUMN,MUTED AUTUMN,True,True,True,0.27550432085990906,0.21225351095199585,0.15009886026382446,MUTED AUTUMN,BRIGHT SPRING,BRIGHT WINTER
17696.jpg,MUTED AUTUMN,COOL WINTER,False,True,True,0.31686288118362427,0.2101338654756546,0.20141929388046265,COOL WINTER,MUTED AUTUMN,DARK AUTUMN
17876.jpg,MUTED AUTUMN,WARM AUTUMN,False,False,True,0.4683245122432709,0.20018929243087769,0.13467787206172943,WARM AUTUMN,DARK AUTUMN,MUTED AUTUMN
18882.jpg,MUTED AUTUMN,MUTED AUTUMN,True,True,True,0.7285521030426025,0.06909726560115814,0.05955374240875244,MUTED AUTUMN,WARM AUTUMN,DARK AUTUMN
19518.jpg,MUTED AUTUMN,MUTED AUTUMN,True,True,True,0.1578875631093979,0.15180379152297974,0.13210465013980865,MUTED AUTUMN,COOL SUMMER,COOL WINTER
19953.jpg,MUTED AUTUMN,DARK AUTUMN,False,False,False,0.35844290256500244,0.19117912650108337,0.15021193027496338,DARK AUTUMN,COOL WINTER,DARK WINTER
20431.jpg,MUTED AUTUMN,MUTED AUTUMN,True,True,True,0.37452971935272217,0.08977802842855453,0.08165284991264343,MUTED AUTUMN,DARK WINTER,COOL SUMMER
22684.jpg,MUTED AUTUMN,MUTED AUTUMN,True,True,True,0.7660331726074219,0.06198515370488167,0.03637941926717758,MUTED AUTUMN,WARM SPRING,WARM AUTUMN
22788.jpg,MUTED AUTUMN,MUTED AUTUMN,True,True,True,0.3661125898361206,0.09319140017032623,0.0921172946691513,MUTED AUTUMN,COOL WINTER,DARK AUTUMN
23781.jpg,MUTED AUTUMN,DARK AUTUMN,False,False,False,0.5218411087989807,0.19829362630844116,0.16464011371135712,DARK AUTUMN,DARK WINTER,COOL WINTER
24530.jpg,MUTED AUTUMN,COOL WINTER,False,False,False,0.32834023237228394,0.16677726805210114,0.16600863635540009,COOL WINTER,DARK WINTER,WARM AUTUMN
25270.jpg,MUTED AUTUMN,MUTED AUTUMN,True,True,True,0.6331454515457153,0.20000582933425903,0.06891973316669464,MUTED AUTUMN,MUTED SUMMER,WARM AUTUMN
25636.jpg,MUTED AUTUMN,MUTED AUTUMN,True,True,True,0.4279450476169586,0.29614129662513733,0.1017637550830841,MUTED AUTUMN,WARM SPRING,MUTED SUMMER
25637.jpg,MUTED AUTUMN,COOL SUMMER,False,False,False,0.37552541494369507,0.24030528962612152,0.22030887007713318,COOL SUMMER,BRIGHT WINTER,BRIGHT SPRING
27851.jpg,MUTED AUTUMN,MUTED AUTUMN,True,True,True,0.23737458884716034,0.19779357314109802,0.18516133725643158,MUTED AUTUMN,COOL WINTER,BRIGHT SPRING
28447.jpg,MUTED AUTUMN,COOL SUMMER,False,False,True,0.24330127239227295,0.22993263602256775,0.2010318636894226,COOL SUMMER,MUTED SUMMER,MUTED AUTUMN
29129.jpg,MUTED AUTUMN,COOL WINTER,False,False,False,0.39172500371932983,0.16955095529556274,0.1253260225057602,COOL WINTER,DARK WINTER,BRIGHT WINTER
29422.jpg,MUTED AUTUMN,MUTED AUTUMN,True,True,True,0.39701783657073975,0.19129779934883118,0.15308308601379395,MUTED AUTUMN,MUTED SUMMER,WARM SPRING
29879.jpg,MUTED AUTUMN,LIGHT SPRING,False,False,False,0.2626858353614807,0.22202786803245544,0.16073796153068542,LIGHT SPRING,COOL SUMMER,BRIGHT SPRING
4051.jpg,MUTED AUTUMN,WARM SPRING,False,False,True,0.21075178682804108,0.2016468495130539,0.17851349711418152,WARM SPRING,WARM AUTUMN,MUTED AUTUMN
7897.jpg,MUTED AUTUMN,COOL SUMMER,False,False,False,0.3216981589794159,0.22220289707183838,0.19402506947517395,COOL SUMMER,BRIGHT SPRING,MUTED SUMMER
9217.jpg,MUTED AUTUMN,DARK AUTUMN,False,False,False,0.5369269847869873,0.25781068205833435,0.08938711881637573,DARK AUTUMN,WARM AUTUMN,COOL WINTER
9749.jpg,MUTED AUTUMN,DARK AUTUMN,False,False,True,0.5502815842628479,0.20080238580703735,0.10723899304866791,DARK AUTUMN,WARM AUTUMN,MUTED AUTUMN
21731.jpg,MUTED AUTUMN,DARK AUTUMN,False,False,True,0.6677247285842896,0.189853698015213,0.06331704556941986,DARK AUTUMN,DARK WINTER,MUTED AUTUMN
21875.jpg,MUTED AUTUMN,WARM AUTUMN,False,False,False,0.3666342496871948,0.23705057799816132,0.1450662910938263,WARM AUTUMN,BRIGHT SPRING,WARM SPRING
22979.jpg,MUTED AUTUMN,MUTED SUMMER,False,False,True,0.33676469326019287,0.17555707693099976,0.14152884483337402,MUTED SUMMER,LIGHT SUMMER,MUTED AUTUMN
23189.jpg,MUTED AUTUMN,WARM AUTUMN,False,False,True,0.7319961190223694,0.24990689754486084,0.01414493378251791,WARM AUTUMN,WARM SPRING,MUTED AUTUMN
23902.jpg,MUTED AUTUMN,MUTED AUTUMN,True,True,True,0.42459267377853394,0.12379394471645355,0.0940706878900528,MUTED AUTUMN,COOL WINTER,COOL SUMMER
24077.jpg,MUTED AUTUMN,WARM AUTUMN,False,True,True,0.4014607071876526,0.353106826543808,0.09247983992099762,WARM AUTUMN,MUTED AUTUMN,WARM SPRING
24703.jpg,MUTED AUTUMN,WARM AUTUMN,False,True,True,0.26977595686912537,0.15576201677322388,0.15006422996520996,WARM AUTUMN,MUTED AUTUMN,DARK AUTUMN
24783.jpg,MUTED AUTUMN,MUTED AUTUMN,True,True,True,0.36072295904159546,0.2752642035484314,0.24931661784648895,MUTED AUTUMN,COOL WINTER,WARM AUTUMN
25099.jpg,MUTED AUTUMN,MUTED AUTUMN,True,True,True,0.37852996587753296,0.28007540106773376,0.1811791956424713,MUTED AUTUMN,WARM AUTUMN,COOL WINTER
26377.jpg,MUTED AUTUMN,MUTED SUMMER,False,False,False,0.5697038173675537,0.11825842410326004,0.07979463785886765,MUTED SUMMER,LIGHT SPRING,LIGHT SUMMER
26514.jpg,MUTED AUTUMN,MUTED AUTUMN,True,True,True,0.4202646315097809,0.30551281571388245,0.13093900680541992,MUTED AUTUMN,WARM AUTUMN,WARM SPRING
26983.jpg,MUTED AUTUMN,MUTED AUTUMN,True,True,True,0.4709317088127136,0.2594841718673706,0.10728181898593903,MUTED AUTUMN,WARM AUTUMN,DARK AUTUMN
28163.jpg,MUTED AUTUMN,MUTED AUTUMN,True,True,True,0.6985073685646057,0.09975187480449677,0.04648812115192413,MUTED AUTUMN,BRIGHT SPRING,DARK AUTUMN
28976.jpg,MUTED AUTUMN,WARM SPRING,False,False,False,0.1598813235759735,0.12408630549907684,0.10491088032722473,WARM SPRING,MUTED SUMMER,COOL SUMMER
29047.jpg,MUTED AUTUMN,MUTED AUTUMN,True,True,True,0.3612571060657501,0.19379878044128418,0.12161696702241898,MUTED AUTUMN,COOL SUMMER,WARM SPRING
29224.jpg,MUTED AUTUMN,MUTED AUTUMN,True,True,True,0.3088603615760803,0.29941868782043457,0.17263305187225342,MUTED AUTUMN,WARM AUTUMN,MUTED SUMMER
