label,filename,partition,sk_L,sk_a,sk_b,hr_L,hr_a,hr_b,lp_L,lp_a,lp_b,ey_L,ey_a,ey_b
DARK AUTUMN,19653.jpg,train,155.0,0.0,0.0,24.0,2.0,5.0,132.0,9.0,-8.0,15.0,0.0,1.0
DARK AUTUMN,19721.jpg,train,116.0,12.0,15.0,0.0,0.0,0.0,110.0,19.0,8.0,0.0,0.0,0.0
DARK AUTUMN,19827.jpg,train,126.0,13.0,29.0,23.0,2.0,3.0,96.0,27.0,27.0,30.0,6.0,9.0
DARK AUTUMN,19908.jpg,train,87.0,6.0,5.0,0.0,0.0,0.0,82.0,12.0,7.0,0.0,0.0,0.0
DARK AUTUMN,19987.jpg,train,83.0,1.0,5.0,70.0,0.0,0.0,66.0,4.0,2.0,20.0,3.0,1.0
DARK AUTUMN,20202.jpg,train,97.0,6.0,8.0,10.0,-2.0,0.0,82.0,14.0,3.0,27.0,2.0,3.0
DARK AUTUMN,20526.jpg,train,147.0,19.0,25.0,58.0,0.0,2.0,151.0,28.0,18.0,0.0,0.0,0.0
DARK AUTUMN,2110.jpg,train,178.0,1.0,4.0,56.0,0.0,-6.0,151.0,14.0,6.0,95.0,0.0,0.0
DARK AUTUMN,21793.jpg,train,68.0,1.0,4.0,0.0,0.0,0.0,114.0,4.0,-16.0,58.0,1.0,-8.0
DARK AUTUMN,2185.jpg,train,139.0,13.0,29.0,11.0,2.0,2.0,96.0,31.0,24.0,58.0,6.0,12.0
DARK AUTUMN,21895.jpg,train,154.0,8.0,12.0,27.0,-2.0,1.0,153.0,15.0,6.0,63.0,1.0,1.0
DARK AUTUMN,22270.jpg,train,158.0,-5.0,4.0,25.0,2.0,2.0,124.0,8.0,-3.0,19.0,2.0,1.0
DARK AUTUMN,22320.jpg,train,169.0,3.0,9.0,53.0,4.0,11.0,127.0,18.0,10.0,46.0,6.0,4.0
DARK AUTUMN,22408.jpg,train,46.0,6.0,9.0,11.0,0.0,1.0,76.0,13.0,10.0,21.0,0.0,1.0
DARK AUTUMN,22889.jpg,train,72.0,6.0,16.0,0.0,0.0,0.0,98.0,10.0,13.0,44.0,2.0,-1.0
DARK AUTUMN,23232.jpg,train,87.0,14.0,25.0,21.0,1.0,2.0,93.0,17.0,19.0,20.0,0.0,3.0
DARK AUTUMN,23298.jpg,train,164.0,-1.0,7.0,15.0,0.0,-1.0,146.0,9.0,4.0,27.0,-1.0,-3.0
DARK AUTUMN,23366.jpg,train,129.0,-5.0,2.0,6.0,0.0,-1.0,90.0,25.0,-19.0,31.0,0.0,-10.0
DARK AUTUMN,23786.jpg,train,64.0,-2.0,8.0,38.0,-2.0,-4.0,83.0,1.0,0.0,64.0,-4.0,3.0
DARK AUTUMN,23839.jpg,train,185.0,-8.0,16.0,42.0,2.0,3.0,138.0,24.0,0.0,43.5,2.0,-2.0
DARK AUTUMN,2409.jpg,train,27.0,3.0,-1.0,17.0,2.0,3.0,51.0,8.0,-11.0,12.0,0.0,-3.0
DARK AUTUMN,24577.jpg,train,127.0,10.0,13.0,10.0,0.0,1.0,104.0,20.0,8.0,35.0,1.0,-1.0
DARK AUTUMN,24859.jpg,train,155.0,4.0,12.0,21.0,0.0,2.0,99.0,40.0,4.0,47.0,2.0,1.0
DARK AUTUMN,25267.jpg,train,98.0,-2.0,18.0,131.0,-10.0,4.0,68.0,13.0,17.0,33.0,4.0,-1.0
DARK AUTUMN,25386.jpg,train,99.0,11.0,17.0,14.0,0.0,0.0,94.0,15.0,12.0,23.0,0.0,2.0
DARK AUTUMN,26168.jpg,train,150.0,5.0,11.0,39.0,2.0,1.0,125.0,17.0,8.0,68.0,4.0,3.0
DARK AUTUMN,26182.jpg,train,69.0,11.0,27.0,0.0,0.0,0.0,58.0,18.0,14.0,36.0,2.0,3.0
DARK AUTUMN,26361.jpg,train,149.0,4.0,15.0,20.0,0.0,2.0,138.0,18.0,9.0,71.0,12.0,12.0
DARK AUTUMN,26459.jpg,train,115.0,-2.0,10.0,9.0,0.0,2.0,114.0,2.0,-3.0,36.0,-2.0,1.0
DARK AUTUMN,26962.jpg,train,131.0,7.0,18.0,19.0,2.0,1.0,100.0,34.0,6.0,20.0,1.0,-3.5
DARK AUTUMN,27425.jpg,train,103.0,12.0,11.0,36.0,-1.0,-2.0,88.0,14.0,5.0,48.0,-1.0,-3.0
DARK AUTUMN,2765.jpg,train,142.0,4.0,6.0,30.0,7.0,1.0,112.0,23.0,12.0,37.0,6.0,1.0
DARK AUTUMN,27673.jpg,train,152.0,1.0,5.0,20.0,-1.0,-1.0,169.0,5.0,-3.0,89.0,2.0,1.0
DARK AUTUMN,27677.jpg,train,164.0,8.0,8.0,17.0,0.0,1.0,126.0,19.0,6.0,45.0,2.0,2.0
DARK AUTUMN,27791.jpg,train,182.0,-4.0,42.0,16.0,4.0,-5.0,120.0,28.0,33.0,53.0,4.0,8.0
DARK AUTUMN,28031.jpg,train,101.0,36.0,31.0,11.0,2.0,2.0,124.0,35.0,26.0,65.0,13.0,15.0
DARK AUTUMN,28319.jpg,train,114.0,0.0,4.0,19.0,0.0,0.0,86.0,8.0,2.0,5.0,0.0,-2.0
DARK AUTUMN,28451.jpg,train,86.0,12.0,18.0,7.0,-2.0,1.0,75.0,17.0,12.0,29.0,2.0,4.0
DARK AUTUMN,28886.jpg,train,171.0,2.0,-2.0,62.0,0.0,-6.0,139.0,12.0,-5.0,111.0,0.0,-4.0
DARK AUTUMN,29014.jpg,train,119.0,6.0,11.0,21.0,0.0,2.0,112.0,9.0,1.0,61.0,2.0,2.0
DARK AUTUMN,29029.jpg,train,142.0,4.0,12.0,53.0,2.0,4.0,115.0,17.0,8.0,23.0,-2.0,2.0
DARK AUTUMN,29542.jpg,train,82.0,14.0,21.0,17.0,2.0,0.0,67.0,15.0,12.0,17.0,4.0,2.0
DARK AUTUMN,2957.jpg,train,116.0,5.0,13.0,68.0,-2.0,-3.0,109.0,11.0,8.0,32.0,0.0,1.0
DARK AUTUMN,29887.jpg,train,142.0,5.0,-10.0,12.0,0.0,-1.0,130.0,14.0,-21.0,126.0,5.0,-24.0
DARK AUTUMN,3314.jpg,train,191.0,1.0,4.0,58.0,1.0,2.0,146.0,14.0,2.0,68.0,1.0,-2.0
DARK AUTUMN,3489.jpg,train,95.0,6.0,14.0,20.0,2.0,3.0,94.0,14.0,7.0,21.0,3.0,4.0
DARK AUTUMN,3608.jpg,train,101.0,-2.0,4.0,2.0,0.0,0.0,65.0,11.0,-3.0,19.0,0.0,-3.0
DARK AUTUMN,4159.jpg,train,53.0,1.0,-1.0,26.0,0.0,-4.0,85.0,1.0,-2.0,37.0,-1.0,-4.0
DARK AUTUMN,4244.jpg,train,57.0,0.0,13.0,14.0,0.0,-3.0,76.0,2.0,10.0,16.0,-2.0,1.0
DARK AUTUMN,4788.jpg,train,157.0,5.0,16.0,27.0,2.0,1.0,114.0,15.0,11.0,66.0,5.0,3.0
DARK AUTUMN,4886.jpg,train,187.0,1.0,-13.0,52.0,0.0,9.0,140.0,17.0,-4.0,29.0,2.0,0.0
DARK AUTUMN,5057.jpg,train,76.0,17.0,21.0,14.0,2.0,0.0,40.0,27.0,15.0,10.0,0.0,2.0
DARK AUTUMN,5575.jpg,train,134.0,3.0,6.0,61.0,0.0,5.0,114.0,13.0,-4.0,71.0,0.0,-3.0
DARK AUTUMN,5844.jpg,train,166.0,0.0,-3.0,43.0,2.0,-3.0,153.0,10.0,-10.0,76.0,4.0,-7.0
DARK AUTUMN,6050.jpg,train,105.0,6.0,10.0,8.0,2.0,2.0,124.0,17.0,2.0,38.0,2.0,1.0
DARK AUTUMN,6228.jpg,train,170.0,-3.0,3.0,1.0,0.0,0.0,188.0,8.0,-23.0,110.0,3.0,-3.0
DARK AUTUMN,6904.jpg,train,120.0,6.0,12.0,26.0,0.0,-1.0,62.0,22.0,9.0,27.0,0.0,1.0
DARK AUTUMN,7098.jpg,train,77.0,9.0,13.0,10.0,0.0,0.0,72.0,23.0,10.0,65.0,0.0,4.0
DARK AUTUMN,7102.jpg,train,99.0,-1.0,25.0,0.0,0.0,0.0,123.0,2.0,12.0,0.0,0.0,0.0
DARK AUTUMN,7331.jpg,train,114.0,4.0,0.0,17.0,0.0,-1.0,98.0,11.0,-6.0,64.0,3.0,-6.0
DARK AUTUMN,7591.jpg,train,139.0,4.0,8.0,58.5,6.0,8.0,124.0,13.0,1.0,58.0,3.0,2.0
DARK AUTUMN,8465.jpg,train,162.0,5.0,15.0,66.0,-1.0,1.0,118.0,12.0,19.0,43.0,4.0,4.0
DARK AUTUMN,8704.jpg,train,189.0,-2.0,-3.0,56.0,2.0,5.0,167.0,5.0,-5.0,99.0,4.0,-9.0
DARK AUTUMN,8862.jpg,train,74.0,8.0,18.0,12.0,0.0,0.0,80.0,14.0,12.0,19.0,2.0,3.0
DARK AUTUMN,9043.jpg,train,140.0,3.0,3.0,41.0,0.0,1.0,77.0,23.0,5.0,25.0,0.0,0.0
DARK AUTUMN,924.jpg,train,92.0,4.0,6.0,0.0,0.0,0.0,114.0,9.0,0.0,0.0,0.0,0.0
DARK AUTUMN,9420.jpg,train,115.0,0.0,8.0,7.0,0.0,0.0,102.0,11.0,10.0,8.0,0.0,-1.0
DARK AUTUMN,9450.jpg,train,64.0,-2.0,3.0,38.0,-4.0,-2.0,78.0,2.0,3.0,17.0,0.0,2.0
DARK AUTUMN,9632.jpg,train,138.0,13.0,21.0,59.0,5.0,6.0,151.0,16.0,15.0,50.0,3.0,4.0
DARK AUTUMN,9688.jpg,train,206.0,-14.0,21.0,52.0,17.0,-19.0,143.0,27.0,6.0,68.0,11.0,-17.0
DARK AUTUMN,973.jpg,train,157.0,10.0,18.0,37.0,2.0,6.0,141.0,19.0,12.0,43.0,2.0,2.0
DARK AUTUMN,9802.jpg,train,90.0,0.0,16.0,11.0,0.0,-2.0,53.0,15.0,8.0,9.0,0.0,-1.0
DARK AUTUMN,981.jpg,train,163.0,-25.0,2.0,1.0,0.0,0.0,128.0,-5.0,-10.0,68.0,-8.0,-5.0
DARK AUTUMN,9980.jpg,train,76.0,-5.0,9.0,73.0,-6.0,-1.0,75.0,-2.0,4.0,12.0,-2.0,2.0
DARK AUTUMN,10063.jpg,train,122.0,4.0,11.0,23.0,1.0,1.0,117.0,11.0,2.0,77.0,0.0,-8.0
DARK AUTUMN,10748.jpg,train,72.0,13.0,14.0,30.0,-1.0,5.0,87.0,17.0,7.0,36.0,4.0,1.0
DARK AUTUMN,10888.jpg,train,114.0,2.0,0.0,23.0,0.0,5.0,95.0,10.0,-6.0,27.0,2.0,-1.0
DARK AUTUMN,11113.jpg,train,170.0,2.0,14.0,19.0,4.0,5.0,126.0,25.0,6.0,50.0,4.0,2.0
DARK AUTUMN,11409.jpg,train,149.0,-4.0,-2.0,47.0,-4.0,3.0,147.0,4.0,-9.0,82.0,-2.0,2.0
DARK AUTUMN,11764.jpg,train,131.0,4.0,4.0,25.0,-2.0,2.0,108.0,12.0,-3.0,66.0,1.0,4.0
DARK AUTUMN,12062.jpg,train,166.0,-6.0,12.0,20.0,2.0,2.0,125.0,16.0,7.0,32.0,3.0,4.0
DARK AUTUMN,12109.jpg,train,124.0,12.0,23.0,38.0,0.0,0.0,101.0,24.0,17.0,49.0,1.0,2.0
DARK AUTUMN,12769.jpg,train,155.0,1.0,15.0,34.0,0.0,-2.0,161.0,8.0,6.0,0.0,0.0,0.0
DARK AUTUMN,12795.jpg,train,111.0,10.0,21.0,10.0,2.0,-5.0,126.0,20.0,11.0,25.0,4.0,2.0
DARK AUTUMN,12887.jpg,train,113.0,10.0,14.0,0.0,0.0,0.0,115.0,16.0,12.0,57.0,3.0,2.0
DARK AUTUMN,12962.jpg,train,101.0,5.0,11.0,42.0,0.0,2.0,44.0,12.0,19.0,70.0,2.0,5.0
DARK AUTUMN,12982.jpg,train,103.0,3.0,8.0,0.0,0.0,0.0,111.0,8.0,-1.0,41.0,2.0,-2.0
DARK AUTUMN,12992.jpg,train,139.0,3.0,0.0,45.0,-1.0,2.0,124.0,10.0,-6.0,45.0,0.0,-8.0
DARK AUTUMN,13081.jpg,train,105.0,14.0,14.0,6.0,2.0,-6.0,90.0,32.0,13.0,14.0,6.0,-4.0
DARK AUTUMN,13339.jpg,train,135.0,8.0,9.0,15.0,0.0,1.0,121.0,15.0,10.0,0.0,0.0,0.0
DARK AUTUMN,13450.jpg,train,130.0,6.0,14.0,38.0,-2.0,-2.0,105.0,13.0,9.0,56.0,2.0,3.0
DARK AUTUMN,13478.jpg,train,122.0,-6.0,24.0,2.0,0.0,0.0,86.0,12.0,18.0,15.5,2.0,-6.0
DARK AUTUMN,13685.jpg,train,118.0,5.0,4.0,43.0,-2.0,6.0,78.0,16.0,5.0,27.0,2.0,3.0
DARK AUTUMN,14207.jpg,train,134.0,9.0,10.0,0.0,0.0,0.0,112.0,18.0,8.0,106.0,7.0,7.0
DARK AUTUMN,14305.jpg,train,131.0,3.0,14.0,9.0,0.0,-2.0,100.0,17.0,9.0,20.0,3.0,1.0
DARK AUTUMN,14515.jpg,train,129.0,5.0,2.0,6.0,2.0,-1.0,110.0,14.0,10.0,21.0,6.0,0.0
DARK AUTUMN,14520.jpg,train,131.0,3.0,7.0,89.0,-2.0,10.0,117.0,11.0,-3.0,45.0,1.0,0.0
DARK AUTUMN,14916.jpg,train,88.0,6.0,26.0,8.0,0.0,2.0,87.0,17.0,30.0,37.0,2.0,14.0
DARK AUTUMN,14951.jpg,train,144.0,3.0,11.0,12.0,0.0,-1.0,136.0,12.0,2.0,46.0,2.0,-2.0
DARK AUTUMN,15000.jpg,train,171.0,5.0,14.0,16.0,-2.0,1.0,148.0,23.0,9.0,9.0,0.0,2.0
DARK AUTUMN,15205.jpg,train,160.0,10.0,2.0,11.0,0.0,-1.0,116.0,23.0,1.0,49.0,3.0,-5.0
DARK AUTUMN,15420.jpg,train,176.0,3.0,2.0,40.0,0.0,0.0,153.0,13.0,-5.0,83.0,2.0,0.0
DARK AUTUMN,15559.jpg,train,138.0,-2.0,23.0,8.0,6.0,-13.0,86.0,14.0,5.0,0.0,0.0,0.0
DARK AUTUMN,16336.jpg,train,137.0,1.0,7.0,67.0,1.0,0.0,120.0,10.0,3.0,0.0,0.0,0.0
DARK AUTUMN,16836.jpg,train,106.0,3.0,9.0,170.0,-3.0,-8.0,77.0,5.0,2.0,36.0,2.0,0.0
DARK AUTUMN,16858.jpg,train,152.0,8.0,18.0,21.0,0.0,1.0,138.0,18.0,13.0,63.5,2.0,1.0
DARK AUTUMN,1692.jpg,train,158.0,-1.0,-2.0,19.0,0.0,2.0,120.0,16.0,-2.0,54.0,-1.0,-1.0
DARK AUTUMN,17091.jpg,train,161.0,3.0,10.0,18.0,0.0,-1.0,118.0,21.0,7.0,58.0,5.0,6.0
DARK AUTUMN,17217.jpg,train,166.0,1.0,-1.0,15.0,0.0,2.0,126.0,13.0,-1.0,40.0,0.0,-1.0
DARK AUTUMN,18122.jpg,train,162.0,-2.0,-5.0,28.0,1.0,2.0,123.0,11.0,-4.0,79.0,-2.0,-3.0
DARK AUTUMN,18577.jpg,train,125.0,10.0,10.0,62.0,2.0,1.0,122.0,10.0,7.0,57.0,7.0,6.0
DARK AUTUMN,18687.jpg,train,98.0,4.0,10.0,11.0,0.0,0.0,97.0,11.0,3.0,5.0,0.0,1.0
DARK AUTUMN,18731.jpg,train,187.0,5.0,10.0,24.0,0.0,-2.0,129.0,27.0,8.0,81.0,1.0,-2.0
DARK AUTUMN,18880.jpg,train,116.0,3.0,9.0,38.0,0.0,0.0,101.0,7.0,3.0,27.0,0.0,1.0
DARK AUTUMN,18936.jpg,train,151.0,2.0,9.0,47.0,2.0,7.0,117.0,18.0,3.0,47.0,1.0,1.0
DARK AUTUMN,19130.jpg,train,137.0,11.0,3.0,44.0,3.0,-4.0,90.0,14.0,-7.0,65.0,4.0,-4.0
DARK AUTUMN,2025.jpg,train,132.0,4.0,14.0,47.0,0.0,6.0,108.0,17.0,12.0,129.0,2.0,2.0
DARK AUTUMN,2661.jpg,train,180.0,3.0,13.0,27.0,0.0,-2.0,141.0,34.0,2.0,38.0,2.0,0.0
DARK AUTUMN,2880.jpg,train,112.0,5.0,6.0,35.0,0.0,2.0,64.0,25.0,1.0,24.0,2.0,-3.0
DARK AUTUMN,3018.jpg,train,163.0,2.0,4.0,17.0,0.0,2.0,146.0,16.0,-1.0,29.0,0.0,0.0
DARK AUTUMN,3059.jpg,train,172.0,0.0,9.0,15.0,4.0,2.0,149.0,17.0,3.0,133.0,-2.0,-7.0
DARK AUTUMN,3462.jpg,train,47.0,6.0,-3.0,0.0,0.0,0.0,57.0,6.0,-7.0,18.0,2.0,-2.0
DARK AUTUMN,3510.jpg,train,167.0,3.0,14.0,29.0,2.0,-4.0,131.0,20.0,10.0,48.0,3.0,0.0
DARK AUTUMN,404.jpg,train,117.0,0.0,5.0,18.0,0.0,-2.0,100.0,14.0,7.0,32.0,0.0,-2.0
DARK AUTUMN,4205.jpg,train,187.0,3.0,9.0,28.0,4.0,5.0,167.0,14.0,4.0,42.0,6.0,5.0
DARK AUTUMN,4505.jpg,train,103.0,5.0,-2.0,23.0,0.0,4.0,89.0,10.0,-6.0,9.0,-2.0,1.0
DARK AUTUMN,4759.jpg,train,127.0,3.0,9.0,14.0,0.0,-1.0,104.0,12.0,1.0,61.0,3.0,2.0
DARK AUTUMN,5113.jpg,train,107.0,2.0,5.0,33.0,0.0,0.0,97.0,8.0,2.0,43.0,0.0,-3.0
DARK AUTUMN,5259.jpg,train,164.0,5.0,7.0,29.0,-1.0,1.0,126.0,25.0,9.0,80.0,-1.0,-3.0
DARK AUTUMN,5418.jpg,train,174.0,0.0,1.0,42.0,0.0,-1.0,146.0,13.0,-6.0,93.0,3.0,-1.0
DARK AUTUMN,5809.jpg,train,175.0,-3.0,0.0,36.0,2.0,-1.0,131.0,22.0,2.0,72.0,2.0,-7.0
DARK AUTUMN,5941.jpg,train,137.0,5.0,11.0,0.0,0.0,0.0,115.0,9.0,0.0,52.0,3.0,4.0
DARK AUTUMN,6067.jpg,train,88.0,9.0,8.0,48.0,-2.0,1.0,105.0,11.0,4.0,45.0,2.0,0.0
DARK AUTUMN,6668.jpg,train,184.0,3.0,11.0,0.0,0.0,0.0,167.0,11.0,7.0,80.0,5.0,3.0
DARK AUTUMN,6723.jpg,train,82.0,7.0,5.0,21.0,2.0,-1.0,60.0,30.0,-5.0,34.0,0.0,-5.0
DARK AUTUMN,6826.jpg,train,187.0,1.0,8.0,17.0,2.0,1.0,134.0,26.0,12.0,58.0,5.0,5.0
DARK AUTUMN,6832.jpg,train,113.0,5.0,13.0,30.0,1.0,2.0,103.0,15.0,10.0,8.0,0.0,1.0
DARK AUTUMN,7530.jpg,train,145.0,1.0,8.0,62.0,-1.0,3.0,132.0,12.0,6.0,54.0,4.0,10.0
DARK AUTUMN,761.jpg,train,68.0,7.0,11.0,0.0,0.0,0.0,102.0,8.0,7.0,70.0,2.0,4.0
DARK AUTUMN,7941.jpg,train,137.0,3.0,10.0,23.0,-1.0,-2.0,104.0,12.0,8.0,25.0,-2.0,1.0
DARK AUTUMN,8230.jpg,train,139.0,8.0,19.0,37.0,-2.0,-2.0,132.0,20.0,17.0,0.0,0.0,0.0
DARK AUTUMN,8610.jpg,train,111.0,0.0,5.0,18.0,2.0,-3.0,81.0,12.0,-1.0,33.0,2.0,-12.0
DARK AUTUMN,9230.jpg,train,142.0,-6.0,5.0,40.0,-4.0,1.0,123.0,-4.0,2.0,0.0,0.0,0.0
DARK AUTUMN,9696.jpg,train,120.0,6.0,17.0,77.0,4.0,8.0,124.0,10.0,9.0,51.0,3.0,-1.0
DARK AUTUMN,9698.jpg,train,159.0,4.0,10.0,26.0,7.0,-13.0,143.0,12.0,5.0,58.0,3.0,-11.0
DARK AUTUMN,9834.jpg,train,156.0,-11.0,13.0,5.0,4.0,-8.0,120.0,4.0,9.0,64.0,2.0,-8.0
DARK AUTUMN,9933.jpg,train,182.0,-2.0,-3.0,24.0,2.0,0.0,123.0,18.0,-3.0,72.0,0.0,-4.0
DARK AUTUMN,Alessandra Ambrosio 10.png,train,171.0,-3.0,2.0,28.0,1.0,2.0,62.0,30.0,7.0,69.0,0.0,-2.0
DARK AUTUMN,Alessandra Ambrosio 3.png,train,170.0,4.0,9.0,57.0,1.0,3.0,127.0,20.0,6.0,68.0,2.0,4.0
DARK AUTUMN,Alessandra Ambrosio 6.png,train,152.0,0.0,2.0,46.0,0.0,2.0,130.0,13.0,-2.0,61.0,0.0,-3.0
DARK AUTUMN,Alessandra Ambrosio 7.png,train,147.0,10.0,17.0,56.0,4.0,8.0,116.0,29.0,10.0,70.5,6.0,-4.0
DARK AUTUMN,Alessandra Ambrosio 8.png,train,153.0,2.0,-2.0,66.0,0.0,4.0,133.0,13.0,2.0,64.0,3.0,-1.0
DARK AUTUMN,Alessandra Ambrosio 9.png,train,190.0,2.0,0.0,85.0,-1.0,2.0,159.0,14.0,-5.0,76.0,-1.0,-1.0
DARK AUTUMN,Alessandra Ambrosio.png,train,191.0,-1.0,5.0,18.0,1.0,1.0,148.5,19.0,5.0,84.0,0.0,-1.0
DARK AUTUMN,Ashley Graham 5.png,train,163.0,2.0,5.0,39.0,0.0,2.0,122.0,16.0,2.0,55.0,1.0,-10.0
DARK AUTUMN,Ashley Graham 6.png,train,144.0,2.0,3.0,54.0,0.0,6.0,123.0,18.0,-6.0,48.0,1.0,-5.0
DARK AUTUMN,Ashley Graham 7.png,train,157.0,3.0,14.0,47.0,0.0,-1.0,133.0,15.0,11.0,54.0,1.0,-1.0
DARK AUTUMN,Ashley Graham.png,train,180.0,0.0,3.0,31.0,1.0,1.0,77.0,45.0,-2.0,29.0,0.0,-2.0
DARK AUTUMN,Ashley Graham1.png,train,178.0,-1.0,-4.0,51.0,2.0,8.0,122.0,15.0,-4.0,66.0,0.0,-4.0
DARK AUTUMN,belen rodriguez  7.png,train,159.0,0.0,0.0,16.0,2.0,3.0,134.0,10.0,2.0,95.0,-2.0,-4.0
DARK AUTUMN,belen rodriguez  8.png,train,155.0,2.0,4.0,31.0,0.0,1.0,117.0,20.0,2.0,72.0,1.0,-6.0
DARK AUTUMN,belen rodriguez  9.png,train,148.0,-1.0,2.0,31.0,1.0,-2.0,118.0,12.0,-1.0,48.0,2.0,-9.0
DARK AUTUMN,belen rodriguez 5.png,train,130.0,6.0,12.0,27.0,1.0,-1.0,94.0,21.0,8.0,42.0,1.0,0.0
DARK AUTUMN,Belen-Rodriguez 8.png,train,162.0,1.0,-6.0,57.0,1.0,5.0,113.0,34.0,-12.0,88.0,2.0,-20.0
DARK AUTUMN,cecilia rodriguez 5.png,train,131.0,2.0,8.0,14.0,1.0,-1.0,82.0,20.0,0.0,43.0,2.0,0.0
